Timestamp,Status,Nama Madrasah,Sudahkah Madrasah saudara mengimplementasikan Kurikulum Merdeka?,Opini,Label
11/1/2023 16:27:46,Tenaga Kependidikan,MTsS Al-Muhajirin ,Sudah,mulai mempersiapkan sistem pembelajaran kurikulum merdeka supaya kurikulum merdeka bisa berjalan sesuai dengan program madrasah termasuk warga madrasah ,
11/1/2023 16:49:52,Guru,MAN Batam,Sudah,kalau kami ini sudah tahun kedua untuk pelaksanaan kurikulum merdeka tentang kesiapan kami mandiri dengan sambil berjalan belajar untuk mendapatkan informasi baik ke sekolah penggerak guru penggerak sehingga bisa memfasilitasi dan mengakomodir siswa karena untuk tahun pertama kami tak ada bimtek dan pendampingan harapannya agar untuk madrasak kita sering mengadakan bimtek dan pendampingan supaya kita seiring  dan tidak ketinggalan dengan sekolah sekolah penggerak,
11/1/2023 16:58:47,Guru,MI ISLAMIYAH KEPOH,Sudah,diharapkan adanya keterliban pemerintah dalam pergantian buku mata pelajaran sehingga madrasah tidak keberatan untuk pengadaan buku buku yang terbaru berdasarkan kurikulum merdeka ini,
11/1/2023 17:04:11,Guru,MI DAUD KHOLIFATULLOH,Sudah,"kesiapan implementasi kurikulum merdeka memerlukan persiapan yang matang dari pihak sekolah dan guru sistem pendidikan termasuk madrasah harus siap untuk mengadaptasi perubahan dalam pendekatan pembelajaran dan penilaian diperlukan pelatihan yang memadai untuk guru agar mereka dapat efektif menerapkan pendekatan pembelajaran yang lebih kontekstual dan berbasis proyek

harapan kurikulum merdeka seharusnya memberikan kesempatan yang lebih besar bagi peserta didik untuk mengembangkan keterampilan praktis pemahaman yang mendalam serta kreativitas saya berharap bahwa implementasi kurikulum ini dapat memberikan manfaat nyata bagi siswa membantu mereka mempersiapkan diri untuk dunia nyata dan mengurangi tekanan pada hafalan tanpa pemahaman

kendala salah satu kendala yang mungkin dihadapi adalah pemahaman yang belum merata tentang kurikulum merdeka di kalangan guru dan orangtua diperlukan upaya komunikasi dan edukasi yang kuat untuk memastikan semua pihak terlibat dalam proses ini selain itu sumber daya yang cukup juga akan menjadi faktor penting dalam kesuksesan implementasi

kepelbagaian madrasah madrasah memiliki karakteristik yang beragam termasuk dalam hal pendekatan pendidikan dan nilainilai yang ditekankan implementasi kurikulum merdeka harus mampu mengakomodasi keberagaman ini dan memungkinkan setiap madrasah untuk tetap mempertahankan identitas dan nilainilai mereka sambil tetap mematuhi kerangka kerja nasional

dalam keseluruhan kurikulum merdeka bisa menjadi langkah positif dalam meningkatkan pendidikan di madrasah jika diimplementasikan dengan baik didukung dengan pelatihan yang memadai komunikasi yang baik dan penyesuaian yang sesuai dengan karakteristik madrasah masingmasing",
11/1/2023 17:18:51,Guru,MI DAUD KHOLIFATULLOH,Sudah,saya harap perangkat kurmer bisa dibagian kesekolah dan diadakan pelatihan tiap mata pelajaran utk semua guru agar guru lebih siap menghadapi peserta didik menggunakan kumer,
11/1/2023 17:20:12,Lainnya,MTsS Ma'arif Ya Husnaya,Sudah,kurikulum merdeka sangat bagus karena bisa menyalurkan bakat anak dengan anak dibuat terjun aktif didalam prmbelajaran,
11/1/2023 17:27:24,Tenaga Kependidikan,MA Darul Huda,Sudah,tentunya sangat siap namun karena keterbatasan media sedikit menghambat kurikulum merdeka,
11/1/2023 17:31:40,Guru,MAS Minhajut Thullab ,Belum,baik,
11/1/2023 17:39:59,Guru,Mts Al ukhuwah Batam ,Sudah,menurut saya implementasi kurikulum merdeka pada madrasah dapat dilaksanakan apabila suatu madrasah sudah benar benar siap dalam semua aspek dari keadaan madrasah itu sendiribaik guru maupun siswa sebagai sentral dari penerapan kurikulum merdeka tersebut madrasah saya pada tahun ini memakai kurmer untuk kelas  semoga semua berjalan lancar dan mendapatkan hasil yang diharapkan agar tahun depan kita akan tetap memakai kurmer ini secara berkesinambungan,
11/1/2023 17:52:47,Guru,MTs Al - Ukhuwah Batam,Sudah,saat ini kurikulum merdeka masih dalam proses penerapan sehingga masih perluny pembiasaan terhadap guru maupun siswa harapannya semoga penerapan kurikulum ini bisa terlaksana dengan maksimal sehingga bisa terwujudnya nuasana pembelajaran yang lebih baik kedepannya,
11/1/2023 17:56:25,Tenaga Kependidikan,MAS YASPEND EL HIDAYAH,Belum,kurikulum merdeka dimadrasah perlu diberlakukan untuk menjadikan madrasah lebih maju,
11/1/2023 17:59:32,Guru,MIS DAUD KHOLIFATULLAH,Sudah,harapan bisa meningkatkan mutu pendidikan di indonesia ,
11/1/2023 18:15:51,Guru,MIN 2 Batam ,Sudah,belajar berkreasi mandiri ,
11/1/2023 18:21:31,Guru,MIN 2 BATAM,Sudah,"keunggulan ikm penekanan materi esensial pengembangan karakter lewat projeck dan bisa mengembangkan kurikulum sesuai kemampuan madrasah
",
11/1/2023 18:22:32,Guru,MIS AL-MUTTAQIN,Sudah,dari segi kesiapan madrasah kami berusaha mempersiapkan segala kekurangannya harapan kedepan mudahmudahan kurikulum merdeka ini bisa di terapkan secara maksimal sehingga memberikan dampak positif yang berarti bagi guru dan mutu lulusan kedapan,
11/1/2023 18:26:59,Guru,MI NURUL HUDA CANTUK,Sudah,"aktualisasi kurikulum tertulis written curriculum kedalam bentuk pembelajaraan
menciptakan pendidikan yang menyenangkan bagi peserta didik dan guru dengan menekankan pada pengembangan aspek keterampilan dan karakter sesuai nilainilai bangsa indonesia
",
11/1/2023 18:29:28,Guru,MTs Al-Ukhuwah,Sudah,"untuk kesipan sudah cukup siap dgn mengikuti pelatihan baik di selenggarakan oleh kemenag maupun madrasah mandiri 
harapan bisa berjalan sebaiknya",
11/1/2023 18:30:16,Guru,MIN 2 Batam ,Sudah,harus mempersiapkan sdm gurunya dan kesiapan siswa dalam pbm ,
11/1/2023 18:34:13,Guru,MIN 2 Batam ,Sudah,mesti ada persiapan yang lebih baik lagi,
