Timestamp,Status,Nama Madrasah,Sudahkah Madrasah saudara mengimplementasikan Kurikulum Merdeka?,Opini,Label
11/1/2023 17:27:24,Tenaga Kependidikan,MA Darul Huda,Sudah,"Tentunya sangat siap, namun karena keterbatasan media sedikit menghambat kurikulum merdeka",-1
11/1/2023 19:26:23,Guru,MTsS Darul Ulum,Sudah,Ya ikuti saja apa program Pemerintah dalam hal ini Kemendiknas. Ganti Kurikulum ya ganti... Implementasinya ya sambil jalan sambil belajar mendamaikan kurikulum,-1
11/1/2023 19:28:48,Guru,Mis,Tidak tahu,Harapan jgn banyak adm,-1
11/1/2023 19:29:09,Guru,MI. Bustanul Ulum 09 ,Sudah,"Kami belum siap 100%, ",-1
11/1/2023 20:09:13,Tenaga Kependidikan,MIS AL-MUTTAQIIN ,Tidak tahu,Karena masih istilah baru dalam dunia pendidikan masih banyak yang belum paham dengan kurikulum merdeka ,-1
11/1/2023 21:03:03,Guru,MA Darul Ihsan ,Belum,Opini: adalah kurikulum Itu.... siapa yang memimpin maka berbeda kebijakan dan kewenangan nya... jadi kurikulum itu tidak ada yang tetap banyak yang beranggapan bahwa setiap peraturan yang berlaku akan berubah seiring bergantinya pemimpin . atau siapa yang menjabat pada saat itu.,-1
11/1/2023 21:20:12,Guru,MTs Hasyim Asy'ari Bawang,Sudah,"1.Keluar dari Zona Nyaman dalam Sistem Pembelajaran.
2. Tidak Memiliki Pengalaman Program Merdeka Belajar. ...
3 Keterbatasan Referensi.",-1
11/1/2023 22:24:22,Guru,MTs Terpadu Darun Najah,Sudah,masih belum siap karena minimnya dana dan fasilitas,-1
11/1/2023 22:29:41,Guru,MI islamiyah damarwulan,Belum,"Untuk implementasi, sudah ada beberapa kegiatan yang mengarah kepada kurikulum merdeka. Hanya saja belum tau bagaimana spesifikasi penerapan dari kurikulum merdeka itu sendiri. Diharapkan kurikulum merdeka tidak membebani guru dari segi administrasi maupun media pembelajaran nya. Dan kompetensi inti, kompetensi dasar dan tujuan pembelajaran juga lebih simpel dan fleksibel tidak terlalu banyak materi yang harus tuntas dalam waktu satu semester atau satu tahun, karena untuk efesien waktu dalam kegiatan pembelajaran.",-1
11/2/2023 0:25:14,Guru,MA Karta Raharja,Belum,Kurikulum merdeka tidak bisa di terapkan di madrasah jika fasilitas madrasah itu sendiri belum maksimal,-1
11/2/2023 4:16:59,Guru,Mts negeri 5 Madina ,Belum,Kurikulum merdeka belum dimengerti karna masih kurangnya sosialisasi keadrasah sehingga hampir semua warga madrasah belum paham bagaimana kurikulum merdeka itu,-1
11/2/2023 4:31:59,Tenaga Kependidikan,MA AL-MUBAROK,Belum,"kurangnya sosialisasi terhadap semua guru, dan seringnya berganti kurikulum sehingga membuat bingung ",-1
11/2/2023 5:07:36,Guru,Mts Salafiyah ,Sudah,Kurang siap karena kurangnya sosialisasi ,-1
11/2/2023 5:17:01,Tenaga Kependidikan,MIS. Mathlaul Anwar,Sudah,"menurut saya dalam proses Implementasi Kurikulum Merdeka terdapat kekurangan dalam sosialisasi secara luring ke pihak madrasah, sehingga banyak guru yang bertanya-tanya apa itu kurikulum merdeka.

lalu, pada RDM (Raport Digital Madrasah) belum ada Raport PPPPRA (Penguatan Profil Pelajar Pancasila dan Rahmatan Lil'alamin). 
sebetulnya ada, namun berbentuk format excel yang mana malah menambah kesulitan guru dalam mengisi raport. jika seperti ini lebih baik tidak usah mengisi raport PPPPRA dan tetap dijadikan nilai sikap dan spiritual saja.

kekurangan lainnya adalah Madrasah dituntut untuk memanfaatkan teknologi pada pembelajaran, namun sampai saat ini tidak ada bantuan alat dari pemerintah seperti laptop, projektor, dsb. padahal untuk AKMI dan ANBK saja kita sudah menjalankan kegiatan tsb. sejak 2021.",-1
11/2/2023 5:17:07,Guru,MI Islahiyah,Sudah,Masih kurang lengkap dari sisi sarana/media belajar,-1
11/2/2023 5:23:03,Guru,MIS MIFTAHUL ULUM,Sudah,"Jujur kami blm siap pada buku untuk siswa, harapan kami sarana dan prasarana untuk menunjang pembelajaran di madrasah le ih terperhatikan, khususnya tentang IT",-1
11/2/2023 5:37:10,Guru,MI Al Khoeriyah,Belum,"kenapa pelaksanaan IKM belum merata, dan pasilitas madrasah yg swasta belum memadai, karena tidak ada bantuan khusus untuk sarana pembelajaran dari pemerintah, seharusnya sarana dulu baru IKM bisa teraplikasikan",-1
11/2/2023 5:49:07,Guru,MIS MIFTAHUL ULUM TAMAN,Belum,"Kurikulum merdeka bagus diterapkan di jaman sekarang. Tpi Dari Pihak kemenag hususnya di kabupaten kami kurang dalam bemberikan pelatihan bagi guru secara luring, sehingga sebagian besar guru tidak mengerti apa kurmer. Terkadang hanya laporannya yang bagus tapi kenyataanya tidak
Semoga kedepannya diadakan Pelatihan secara luring. ",-1
11/2/2023 5:49:18,Guru,RA Muslimat NU ,Sudah,Untuk pertama kalinya memang agak sulit,-1
11/2/2023 5:59:30,Guru,MI Raudlatul Wildan,Belum,Mudah mudahan tdk ad lagi perubahan untuk kedepan nya,-1
11/2/2023 6:14:27,Tenaga Kependidikan,MTsN 1 Way Kanan,Sudah,"Kurikulum merdeka hanya cocok diperkotaan tapi bagi kami dikampung kurang cocok, permasalahannya anak sekarang berbeda dengan anak zaman dulu",-1
11/2/2023 6:31:42,Guru,MIS DARUL MUTA'ALLIMIN ,Belum,Madrasah belum siap,-1
11/2/2023 7:22:26,Guru,MI ASSALAM KUBANGBUNGUR,Sudah,"KURIKULUM MERDEKA TERLALU MENDADAK,HARUSNYA DULU SUDAH DIPERSIAPKAN DENGAN MENTIADAKAN KURTILAS.",-1
11/2/2023 7:27:43,Guru,Mi tarbiyatul islam,Sudah,"Kurmer bagus untuk sekolah, cuma dari pihak terkait dari kemenag kurang cepat dalam hal pelatihan dan penerapan selalu ketinggalan dengan sebelah",-1
11/2/2023 7:30:31,Guru,MI Darus Salam,Sudah,Kurang sosialisasinya sehingga guru masih belum sepenuhnya paham tentang kurikulum tapi harus sudah dimplementasikan.,-1
11/2/2023 7:37:30,Guru,MTsS Al-Jamil BareEleh,Belum,"Madrash blm begitu siap dari segi, pasilitas yg memadai, dan dari segi jangkauan sangat terpencil dadri kab.kota",-1
11/2/2023 7:42:51,Guru,MA NURUL ISLAM,Sudah,Sosialisasi yang kurang mendalam dan menyeluruh mengenai elemen-elemen perubahan pada kurikulum merdekan terhadap guru dan peserta didik,-1
