Timestamp,Status,Nama Madrasah,Sudahkah Madrasah saudara mengimplementasikan Kurikulum Merdeka?,Opini,Label
11/1/2023 16:27:46,Tenaga Kependidikan,MTsS Al-Muhajirin ,Sudah,"Mulai mempersiapkan sistem pembelajaran Kurikulum Merdeka, supaya kurikulum merdeka bisa berjalan sesuai dengan Program Madrasah termasuk warga Madrasah ",0
11/1/2023 16:58:47,Guru,MI ISLAMIYAH KEPOH,Sudah,"Diharapkan adanya keterliban pemerintah dalam pergantian buku mata pelajaran, sehingga madrasah tidak keberatan untuk pengadaan buku buku yang terbaru berdasarkan kurikulum merdeka ini.",0
11/1/2023 17:18:51,Guru,MI DAUD KHOLIFATULLOH,Sudah,"Saya harap perangkat kurmer bisa dibagian kesekolah"" Dan diadakan pelatihan tiap mata pelajaran utk semua guru. Agar guru"" Lebih siap menghadapi peserta didik menggunakan kumer",0
11/1/2023 17:56:25,Tenaga Kependidikan,MAS YASPEND EL HIDAYAH,Belum,Kurikulum merdeka dimadrasah perlu diberlakukan untuk menjadikan madrasah lebih maju,0
11/1/2023 17:59:32,Guru,MIS DAUD KHOLIFATULLAH,Sudah,Harapan bisa meningkatkan mutu pendidikan di Indonesia ,0
11/1/2023 18:26:59,Guru,MI NURUL HUDA CANTUK,Sudah,"aktualisasi kurikulum tertulis (written curriculum) kedalam bentuk pembelajaraan.
Menciptakan pendidikan yang menyenangkan bagi peserta didik dan guru, dengan menekankan pada pengembangan aspek keterampilan dan karakter sesuai nilai-nilai bangsa Indonesia
",0
11/1/2023 18:30:16,Guru,MIN 2 Batam ,Sudah,Harus mempersiapkan SDM gurunya dan kesiapan siswa dalam PBM ,0
11/1/2023 18:37:55,Guru,MIS AL HIKMAMUSSALAFIYAH,Sudah,Implementasi Kurikulum Merdeka di sekolah saat ini merupakan pilihan mandiri dengan menyesuaikan kesiapan dan karakteristik satuan pendidikan.,0
11/1/2023 18:39:34,Guru,MIN 2 Batam,Sudah,Kurikulum merdeka di madrasah sudah bisa diterapkan hanya diperlukan pembekalan lebih intensif untuk guru-gurunya dan kelengkapan sarana dan prasarana di madrasah.,0
11/1/2023 18:48:26,Guru,MAS NW SANGGENG,Belum,"Ada sebahagian guru yang memahami tentang IKM, jadi perlu kiranya diadakan pelatihan untuk menerapkan IKM secara bertahap.",0
11/1/2023 18:48:38,Guru,MI AL-MUFLIHUN,Belum,memberikan kebebasan kepada peserta didik untuk mempelajari apa yang di inginkan lapun tidak sesuai dengna jalurnya.,0
11/1/2023 18:50:18,Guru,MIN 2 Batam,Sudah,"Harapannya agar kurikulum merdeka anak bisa mengembangkan imajinasinya 
",0
11/1/2023 18:52:39,Guru,MI Hidayatul Mubtadiin ,Belum,Setiap lembaga mempunyai kesiapan IKM. Tetapi tidak semua lembaga mampu menerapkan IKM. Berkaitan dengan sarana dan kualitas tenaga pendidik dan kependidikan. Karena itu butuh. Bimtek semua guru. Secara berkelanjutan.,0
11/1/2023 19:11:22,Guru,MIN 2 BATAM,Sudah,untuk mendalami konsep dan menguatkan kompetensi,0
11/1/2023 19:29:43,Guru,MIN 2 Batam ,Sudah,Mohon diberikan Bimbingan  kepada guru yang belum menggunakan kurikulum merdeka ,0
11/1/2023 19:30:19,Tenaga Kependidikan,RA AL Kautsar,Belum,"D lembaga kami IKM belum d laksanakan sepenuhnya karena masih belum faham betul,sambil belajar.harapannya d tahun mendatang akan benar² terlaksana dg baik sesuai harapan",0
11/1/2023 19:33:04,Guru,MIN 2 Batam,Belum,Idealnya 1 rombel maksimal 10 siswa agar busa fasilitas diferensiasi pembelajaran berdasarkan karakteristik peserta didik. Saat ini kami mengajar 1 guru untuk 35 - 36 siswa. ,0
11/1/2023 19:46:08,Tenaga Kependidikan,MIS.Husnul Amal,Sudah,"Berminat untuk segera di terapkan di Madrasah , siap untuk diterapkan di madrasah,harapan kami  agar madrasah kami diberikan dana bantuan ,bantuan alat penunjang dalam penerapan kurikulum tersebut.",0
11/1/2023 19:51:08,Guru,MIN 2 BATAM,Sudah,agar peserta didik memiliki cukup waktu untuk mendalami kami konsep dan menguatkan kompetensi,0
11/1/2023 20:10:24,Guru,MA ASSALAFIYAH LUWUNGRAGI,Sudah,"Bagi madrasah MA Assalafiyah butuh mempersiapkan perangkat kurikulum merdeka sehingga pada tahun pelajaran 2023-2024 baru bisa menerapkan kurikulum merdeka harapanya menyongsong era kemajuan dengan menerapkan P5, ",0
11/1/2023 20:27:31,Guru,Min 2 batam ,Sudah,Siswa diberikan kebebasan sendiri utk mengatur pembelajaran sehingga mereka memiliki rasa tanggung jawab.,0
11/1/2023 20:29:12,Guru,MI AN-NISA,Belum,Implementasi Kurikulum Merdeka di sekolah saat ini merupakan pilihan mandiri dengan menyesuaikan kesiapan dan karakteristik satuan pendidikan,0
11/1/2023 20:45:44,Guru,MIS SALAFIYAH,Belum,Memberi kebebasan lembaga untuk memilih pencapaian kebutuhan sekolah secara capaian minimum yang disesuaikan dengan kondisi sekolah,0
11/1/2023 21:01:46,Guru,"MIS Al-Muttaqin Tanjung Uma, Batam",Sudah,Agar lebih banyak pelatihan yg mendalam dan khusus agar pengimplematasi dari kurikulum merdeka ini agar lebih mudah dipahami dan diterapkan di sekolah bersama para peserta didik,0
11/1/2023 21:07:03,Tenaga Kependidikan,MI Hikmatush Shofwah,Belum,Akan di usahakan dengan berbagai kegiatan kegiatan ,0
11/1/2023 21:11:19,Guru,Mis al muttaqiin,Sudah,Menciptakan pelajaran berkualitas sesuai dengan kebutuhan pelajar dan kondisi satuan Pendidikan. ,0
11/1/2023 21:15:26,Guru,MAS Nahdlatul Wathan ,Sudah,"Penerapan kurma di madrasah harusnya ditunjang oleh pasilitas yg memadai, keterbatasan dana dan anggaran serta kesiapan para pendidik masih sangat kurang. Kementerian agama harus memberikan ruang yg cukup bagai guru di madrasah untuk mendapatkan pelatihan supaya brnar-benar paham tentang isi dan muatan serta implementasi kurma ini. Berbagai pelatihan yg disiapkan oleh kemenag lebih banyak bersifat daring, hal tersebut kurang efektif dibanding dengan pelatihan secara offline. Untuk itu perlu dikaji ulang kebijakan ini agar tujuan penerapan kurma di madrasah dapat diemplemamtasikan dengan maksimal.",0
11/1/2023 21:38:55,Guru,MI Miftahul ulum Batam kota ,Belum,Dijalankan  menurut kemampuannya yg ada pada madrasah ,0
11/1/2023 21:48:53,Guru,mdt al anshoriyah,Sudah,mengatasi krisis pembelajaran,0
11/1/2023 21:49:23,Guru,MIS AL ASY'ARIYAH,Belum,"Lebih gencar dalam sosialisasi kurikulum kepada guru guru baik melalui workshop ataupun seminar yang diselenggarakan oleh pihak pihak terkait, serta berikan kemudahan akses dalam mendapatkan informasi tentang kurikulum merdeka",0
11/1/2023 21:56:01,Tenaga Kependidikan,MTs Miftahul Ulum,Sudah,inovasi dalam pendidikan Indonesia yang bertujuan untuk mengembangkan potensi dan minat belajar siswa. ,0
11/1/2023 22:01:33,Guru,MDT AL ANSHORIYAH,Sudah,MENGATASI KRISIS PEMBELAJARAN,0
11/1/2023 22:07:33,Guru,Mts as salam,Belum,Pelaksanaan dan penerapan ,0
11/1/2023 22:11:10,Tenaga Kependidikan,MTSS SYEKH RAFII ,Sudah,Dengan diberlakukannya kumer ini guru bisa menggiring siswa sesuai minat dan bakatnya untuk menyongsong masa depan masing masing individu peserta didik tersebut,0
11/1/2023 22:24:20,Guru,MI RUHAMAK JAMBIK,Sudah,KUrikukulum YANG memberikan wawasan kepada para guru untuk memiliki keleluasaan untuk memilih berbagai perangkat ajar agar pembelajaran dapat menyesuaikan dengan kebutuhan belajar dan minat murid,0
11/1/2023 23:04:22,Guru,waslan Mustopa,Sudah,"Infrastruktur yang harus di penuhi oleh setiap madrasah. Jadi, berikan setiap madraah kelengkapan yang berkaitan IKM",0
11/1/2023 23:06:45,Guru,MIS AZZAINIYAH II,Sudah,"75% siap, harapan ke depan agar memberikan bantuan buku paket pelajaran kurikulum merdeka",0
11/1/2023 23:11:32,Guru,MI NW TALON AMBON,Sudah,"Kesiapan kami di lembaga yangmasih secara bertahap, kami menggunakan kurikulum merdeka mandiri belajar. Karena fasilitas yang belum lengkap dari semua sarana prasarana. Sehingga perlu bertahap. Dan mohon dari kemenag pusat bidang sarana prasarana agar menerima usulan bantuan sarpras kami. Kami tidak pernah sama sekali diberikan bantuan oleh pemerintah dalam sarpras. Sudah sekian kali kami mengusul namun hanya madrasah lain saja yang dapat",0
11/1/2023 23:18:21,Tenaga Kependidikan,MAS TANJUNGJAYA,Sudah,"Kurikulum merdeka merupakan kurikulum yang baru, Madrasah masih perlu adaptasi dalam penerapan kurikulum merdeka, harapan kami agar diadakan pelatihan kepada seluruh tenaga pendidik agar dalam implementasinya di lapangan berjalan sesuai dengan tujuan diberlakukannya kurikulum merdeka serta menghasilkan peserta didik yang berkualitas",0
11/1/2023 23:23:27,Tenaga Kependidikan,Mi Al Jabbar,Belum,Kurikulum yang berfokus pada pembiasaan siswa dalam menyerap pembelajaran ,0
11/1/2023 23:34:35,Tenaga Kependidikan,RA AL FUTUHIYAH,Belum,Harapan bagi kami agar diselenggarakan pelatihan rutin sebagai bahan pengembangan diri para guru,0
11/1/2023 23:37:33,Lainnya,Pondok pessntren,Belum,pelaksanaan kurikulum yang memberi ruang kreativitas dan inovasi kepada madrasah dalam mengembangkan kurikulum operasional pada tingkat satuan pendidikan.,0
11/2/2023 0:03:57,Guru,Mi HIDAYATUSSIBYAN NW SENGKERANG,Belum,SUPAYA DI BUAT WARKHSHOP ATAU PEMBINAAN TERKAIN DENGAN KURIKULUM MERDEKA,0
11/2/2023 0:12:39,Tenaga Kependidikan,MA KARTA RAHARJA,Belum,"1. implementasi Kurikulum Merdeka memerlukan kesiapan yang baik dari pihak madrasah, termasuk para pendidik, siswa, dan pihak terkait lainnya. Kesiapan ini mencakup pemahaman yang mendalam tentang filosofi, tujuan, dan strategi pengajaran Kurikulum Merdeka.
2. Diperlukan pelatihan yang efektif untuk guru dan staf madrasah agar mereka dapat mengadaptasi metode pengajaran yang sesuai dengan pendekatan Kurikulum Merdeka.
3. Sumber daya, termasuk buku teks dan materi ajar, perlu diperbarui atau disesuaikan agar sesuai dengan Kurikulum Merdeka.
4. Harapan utama dari implementasi Kurikulum Merdeka di madrasah adalah peningkatan mutu pendidikan, pengembangan kreativitas dan kritisitas siswa, serta pembentukan karakter yang kuat.
5. Diharapkan bahwa pendekatan Kurikulum Merdeka dapat memberikan keleluasaan kepada madrasah untuk mengadaptasi kurikulum sesuai dengan kebutuhan dan karakteristik siswa di daerahnya masing-masing.
6. Adanya harapan bahwa Kurikulum Merdeka dapat merangsang minat siswa terhadap pembelajaran, meningkatkan keterampilan berpikir kritis, dan mempersiapkan mereka untuk menghadapi tantangan global.",0
11/2/2023 0:39:16,Guru,MI Darul Huda,Belum,"Untuk di madrasah khususnya tingkat Ibtidaiyah perlu bimbingan yang relevan sesuai dengan kondisi keadaan, baik secara administrasi, pembelajaran, serta implementasi penerapan kurikulum tersebut, dan untuk harapannya madrasah dapat memfasilitasi implementasi kurikulum tersebut.",0
11/2/2023 0:48:35,Guru,Tsanawiyah Walisongo,Belum,Sesungguhnya Kurikulum itu bisa di lakukan dengan Guru atau Tendik yang mampu untuk segala bidangnya,0
11/2/2023 3:21:00,Guru,Mis Al Ukhuwah ,Sudah,"Sudah pernah melaksanakan pelatihan namum,masih bingung dalam penerapan nya",0
11/2/2023 4:22:58,Guru,MIS VATSIN NUSANTARA ,Belum,"Implementasi Kurikulum Merdeka di sekolah saat ini merupakan pilihan mandiri dengan menyesuaikan kesiapan dan karakteristik satuan pendidikan. Sekolah diberikan opsi dalam penerapan Kurikulum Merdeka yakni opsi Mandiri Belajar, Mandiri Berubah, dan Mandiri Berbagi. Opsi Mandiri Belajar memberikan kesempatan bagi sekolah menggunakan struktur Kurikulum 2013 dan menerapkan beberapa konsep dan prinsip Kurikulum Merdeka dalam melaksanakan pembelajaran dan asesmen.  Terkait kesiapan di Madrasah kami Belum Menerapkan Kurikulum Merdeka di karenakan seluruh GURU/pendidik Blum di berikan Sosialisasi terkait Kurikulum Merdeka. ",0
11/2/2023 4:38:12,Lainnya,MAS Raudlatul Muta'allimin Al-ma'arif Keramat,Belum,Sebelum mengimplementasikan kurokulum merdeka di Madrsah saya berharap semua pasilitas dan penunjang sudah siap dan lengkap supaya ditak terkesan memaksa dan terburu-buru.,0
11/2/2023 4:54:03,Guru,MTsS MIFTAHUL ULUM,Belum,"Sarpras dan fasilitas masih belum memadai, harapannya ada bantuan terutama untuk madrasah² swasta di pedesaan",0
11/2/2023 5:15:40,Guru,MAS ANNAJAH SESELA,Belum,"Dari ASFEK kesiapan, madrasah perlu mempersiapkan diri dengan baik untuk mengimplementasikan Kurikulum Merdeka. ",0
11/2/2023 5:36:16,Guru,RA ALFUTUHIYAH,Belum,Sebenernya kurikulum merdeka itu lebih banyak ke praktek langsung ,0
11/2/2023 5:37:50,Guru,MA.KARTA RAHARJA,Belum,Harapan sebagai seorang pendidik dapat meningkatkan kualitas pendidikan nasional ,0
11/2/2023 5:50:10,Guru,MA Darussalam ,Sudah,Implementasi kurikulum merdeka di madrasah kami di sadari belum siap sepenuhnya karena jumlah buku dan bahan ajar untuk siswa belum lengkap. Diharapkan kedepannya pemerintah dapat memberikan bantuan buku yang relevan dengan kurikulum merdeka di madrasah Aliyah Darussalam. ,0
11/2/2023 5:59:25,Siswa,MA NURUL ULUM,Tidak tahu,lebih menggunakan pendekatan diferensiasi. ,0
11/2/2023 6:14:23,Guru,MI NURUL IMAN PENGABUAN,Belum,Kami Sekarang Sudah Mempersiapkan Diri Untuk mengimplementasikan Kurikulum Merdeka Tahun Ajaran Depan,0
11/2/2023 6:24:15,Lainnya,MI Maarif NU Nurul Islam Pronojiwo,Sudah,Harusnya pemerintah menyiapkan lebih dulu tenaga pendidiknya,0
11/2/2023 6:39:41,Guru,MA Hidayatul Muttaqin NW Dangiang ,Belum,"Dengan kondisi madrasah kami saat ini belum siap menerapkan kurikulum merdeka , harapan sebelum penerapan semua guru atau tenaga pendidik diberikan bimbingan ",0
11/2/2023 6:53:26,Guru,Mts. Darul falah batam,Sudah,"Implementasi Kurikulum Merdeka di sekolah saat ini merupakan pilihan mandiri dengan menyesuaikan kesiapan dan karakteristik satuan pendidikan. Sekolah diberikan opsi dalam penerapan Kurikulum Merdeka yakni opsi Mandiri Belajar, Mandiri Berubah, dan Mandiri Berbagi. Opsi Mandiri Belajar memberikan kesempatan bagi sekolah menggunakan struktur Kurikulum 2013 dan menerapkan beberapa konsep dan prinsip Kurikulum Merdeka dalam melaksanakan pembelajaran dan asesmen. Opsi Mandiri Berubah menjadikan sekolah menggunakan struktur Kurikulum Merdeka dalam mengembangkan kurikulum satuan pendidikannya dan menerapkan prinsip-prinsip Kurikulum Merdeka dalam melaksanakan pembelajaran dan asesmen. Terakhir, Opsi Mandiri Berbagi memberikan peluang sekolah untuk menggunakan Kurikulum Merdeka dan menerapkan prinsip-prinsip Kurikulum Merdeka dalam melaksanakan pembelajaran dan asesmen dengan komitmen untuk membagikan praktik-praktik baiknya kepada satuan pendidikan lain.
Kurikulum Merdeka menciptakan pembelajaran berkualitas sesuai dengan kebutuhan pelajar dan kondisi satuan pendidikan. Pendidik dapat fokus pada materi esensial sehingga pembelajaran lebih mendalam serta waktu lebih banyak untuk pengembangan kompetensi dan karakter pelajar. Kurikulum Merdeka dipersepsikan dapat memfasilitasi kemampuan unik pelajar karena pendidik diberi hak sepenuhnya untuk berinovasi memperhatikan iklim atau budaya sekolah, dan karakteristik pelajar. Misalnya, ada karakter pelajar yang menyukai matematika dan Geografi sehingga pendidik dapat memadukan pembelajaran eksakta dan karakteristik IPS dalam satu pembelajaran matematika dan IPS atau IPA untuk sekolah dasar.
Kurikulum Merdeka memberikan fleksibilitas bagi pendidik. Pendidik dapat merancang Kurikulum Operasional Satuan Pendidikan (KOSP) dan Rencana Pelaksanaan Pembelajaran (RPP) sendiri. Kurikulum Merdeka memberikan hak sekolah untuk merancang (KOSP) yang memuat visi misi sekolah, organisasi pembelajaran, serta jadwal dan kalender akademik. Kurikulum Merdeka yang memberikan keleluasaan pendidik merancang kurikulum sesuai dengan karakteristik peserta didik menganjurkan adanya survey kebutuhan peserta didik, dan asesmen diagnostik sehingga sebelum kegiatan belajar mengajar (KBM) pendidik memiliki informasi karakteristik pelajar. Informasi ini menjadi dasar bagi para pendidik untuk merancang RPP termasuk metode dan penilaian pembelajaran. ",0
11/2/2023 7:02:17,Tenaga Kependidikan,MTs Darul Hasanah Kota Semarang,Sudah,"Kesiapan awal Implementasi Kurikulum Merdeka diawali diadakannya Sosialisasi, Workshop dan Bimtek kepada Masyarakat Sekolah (Guru, Karyawan, Siswa, Orantua). Harapannya IKM ini dilanjutkan secara berkesinambungan dan secara periodik dilakukan evaluasi supaya terukur dan terevaluasi kekurangan dan kelemahan di tingkat sekolah. ",0
11/2/2023 7:06:06,Siswa,MTs Darul Hasanah Kota Semarang,Sudah,Persiapan awal IKM sekolah mengadakan Sosialisasi kepada Siswa dan Orangtua sehingga IKM ini didukung secara penuh sekolah dan orangtua. Harapannya IKM ini dilaksanakan secara berkelanjutan dan adanya evaluasi supaya adanya perbaikan dan penyempurnaan pelaksanaan IKM,0
11/2/2023 7:22:58,Guru,MTSS NW AIKMEL,Sudah,"Kurikulum merdeka untuk sementara dilaksanakan bertahap, pada saat ini hanya dilaksanakan dikelas 7 dengan mengembangkan kegiatan kemah pesantren dengan melaksanakan kegiatan sesuai kemampuan Madrasah",0
11/2/2023 7:24:02,Guru,MA AL-JAMIL,Belum,penerapan kurikulum merdeka dapat memudahkan bagi guru maupun siswa dalam memahami sebuah topik sehingga ketercapaian sebuah pembelajaran akan sangat mudah dimana kita dapat belajar dari berbagai sumber terutama saat ini yang paling populer adalah diyoutube dimana siswa dapat mencari materi mereka dan membuat resume.,0
11/2/2023 7:26:59,Guru,MIS Darul Ghufron,Sudah,"Pembelajaran yang menyesuaikan kebutuhan , capaian dan konteks murid serta kondisi satuan pendidikan , sehingga implementasi bisa bertahap dan tercapai  ",0
11/2/2023 7:31:23,Guru,Madrasah Aliyah Al jamil,Belum,Efektivitas kurikulum dalam kondisi khusus semakin menguatkan pentingnya perubahan rancangan dan strategi implementasi kurikulum secara lebih komprehensif,0
11/2/2023 7:38:00,Guru,MA Al-Jamil,Belum,"IKM dimadrasah patut diterapkan karena Kurikulum Merdeka merupakan sebuah langkah penting dalam meningkatkan kualitas pembelajaran dimadrasah.
Oleh karena itu, kami sebagai guru madrasah berharap akan mendapatkan pelatihan terkait IKM tersebut.",0
11/2/2023 7:39:43,Guru,MI NW KEBUN MULIA,Sudah,"Kurikulum Merdeka di Madrasah dari sisi kesiapan masih belum maksimal karena kurangnya media yang mendukung, harapan madrasah kami supaya ada bantuan untuk media pendukung dalam proses pembelajaran",0
11/2/2023 7:39:47,Guru,RA AL KHOLILI HASAN,Sudah,"Dikarenakan RA Al Kholili masih berjalan 2 th untuk kesiapan masih dalam tahap pembenahan, untuk harapan semoga kedepannya RA kita mampu  memakai kurikulum merdeka sepenuhnya tetapi untuk saat ini kita sudah memasukkan kurikulum merdeka dalam pengajaran",0
11/2/2023 7:46:40,Tenaga Kependidikan,MI Darul Falah,Sudah,"Perubahan kerangka kurikulum tentu menuntut adaptasi oleh
semua elemen sistem pendidikan. Proses tersebut membutuhkan
pengelolaan yang cermat sehingga menghasilkan dampak yang
kita inginkan, yaitu perbaikan kualitas pembelajaran dan
pendidikan di Indonesia. Oleh karena itu, Kemendikbudristek
memberikan opsi kurikulum sebagai salah satu upaya manajemen
perubahan.",0
11/2/2023 7:52:04,Tenaga Kependidikan,MTs. Mashlahatul Hidayah,Sudah,Belu adanya pembinaan dan sosialisasi dulu sebelum memutuskan melanjutkan atau tidak ,0
11/2/2023 7:58:56,Guru,Madrasah Aliyah Nurul Islam Pungging ,Sudah,"Implementasi kurikulum merdeka di lingkungan madrasah Aliyah membutuhkan adaptasi dengan segala aspek yang ada. Mulai dari kesiapan peserta didik, guru, kurikulum dan seluruh stakeholder di lingkungan madrasah. Dengan penguatan profil pelajar Pancasila dan profil pelajar rahmatan Lil Al-Amin membuat peserta lebih cakap dan bisa memposisikan peserta didik sesuai dengan karakteristik nya masing masing, harapannya peserta didik bisa berkembang sesuai dengan bakat, minat, kemampuan nya masing masing dengan mencapai titik yang diinginkan.",0
11/2/2023 8:05:19,Guru,MIS MIFTAHUL ULUM 1 MAYANGAN,Sudah,Agar peserta didik lebih memiliki cukup waktu untuk mendalami materi dan penguatan kopeetensi,0
11/2/2023 8:05:25,Guru,MIS MA'ARIF SIROJUL ULUM,Sudah,Kurikulum Merdeka memberikan fleksibilitas bagi pendidik. Pendidik dapat merancang Kurikulum Operasional Satuan Pendidikan (KOSP) dan Rencana Pelaksanaan Pembelajaran (RPP) sendiri. Kurikulum Merdeka memberikan hak sekolah untuk merancang (KOSP) yang memuat visi misi sekolah,0
11/2/2023 8:06:52,Guru,MI Syihabuddin,Sudah,"Kesulitan dalam siapkan admin krn mulai dr awal. Mukai tentukan tp, ATP, kktp, trus implementasi kan pembelajaran berdiferensiasi jg",0
11/2/2023 8:07:18,Guru,MI Syihabuddin,Sudah,"Kesulitan dalam siapkan admin krn mulai dr awal. Mukai tentukan tp, ATP, kktp, trus implementasi kan pembelajaran berdiferensiasi jg",0
11/2/2023 8:07:42,Guru,MTSS MAMBAUL FALAH,Sudah,kurikulum merdeka memberikan keleluasaan kepada pendidik untuk menciptakan pembelajaran berkualitas yang sesuai dengan kebutuhan dan lingkungan belajar peserta didik.,0
11/2/2023 8:08:37,Lainnya,MI AL-FALAH,Sudah,"dalam proses pengembangan belajar mengajar di Madrasah kami, harus mempersiapkan diri, terutama guru untuk memahami dan mempraktekkan secara bertahap tentang teknik pembuatan perangkat pembelajaran di sekolah yang mengacu pada kurikulum merdeka",0
11/2/2023 8:11:39,Lainnya,MI MA'ARIF DAARUT-TAQWA,Belum,implementasi kurikulum merdeka di madrasah sebelumnya belum siap .kerena belum ada pelatihan yang terkhusus terkait implementasi kurikulum merdeka kepada madrasah dan guru,0
