Timestamp,Status,Nama Madrasah,Sudahkah Madrasah saudara mengimplementasikan Kurikulum Merdeka?,Opini,Label
11/1/2023 16:49:52,Guru,MAN Batam,Sudah,"Kalau kami ini sudah tahun kedua untuk pelaksanaan Kurikulum Merdeka, tentang kesiapan kami mandiri dengan sambil berjalan, belajar untuk mendapatkan informasi, baik ke sekolah penggerak, guru penggerak. sehingga bisa memfasilitasi dan mengakomodir siswa, karena untuk tahun pertama kami tak ada bimtek dan pendampingan, harapannya agar untuk madrasak kita sering mengadakan Bimtek dan pendampingan supaya kita seiring  dan tidak ketinggalan dengan sekolah sekolah penggerak",1
11/1/2023 17:04:11,Guru,MI DAUD KHOLIFATULLOH,Sudah,"Kesiapan: Implementasi Kurikulum Merdeka memerlukan persiapan yang matang dari pihak sekolah dan guru. Sistem pendidikan, termasuk madrasah, harus siap untuk mengadaptasi perubahan dalam pendekatan pembelajaran dan penilaian. Diperlukan pelatihan yang memadai untuk guru agar mereka dapat efektif menerapkan pendekatan pembelajaran yang lebih kontekstual dan berbasis proyek.

Harapan: Kurikulum Merdeka seharusnya memberikan kesempatan yang lebih besar bagi peserta didik untuk mengembangkan keterampilan praktis, pemahaman yang mendalam, serta kreativitas. Saya berharap bahwa implementasi kurikulum ini dapat memberikan manfaat nyata bagi siswa, membantu mereka mempersiapkan diri untuk dunia nyata, dan mengurangi tekanan pada hafalan tanpa pemahaman.

Kendala: Salah satu kendala yang mungkin dihadapi adalah pemahaman yang belum merata tentang Kurikulum Merdeka di kalangan guru dan orangtua. Diperlukan upaya komunikasi dan edukasi yang kuat untuk memastikan semua pihak terlibat dalam proses ini. Selain itu, sumber daya yang cukup juga akan menjadi faktor penting dalam kesuksesan implementasi.

Kepelbagaian Madrasah: Madrasah memiliki karakteristik yang beragam, termasuk dalam hal pendekatan pendidikan dan nilai-nilai yang ditekankan. Implementasi Kurikulum Merdeka harus mampu mengakomodasi keberagaman ini dan memungkinkan setiap madrasah untuk tetap mempertahankan identitas dan nilai-nilai mereka sambil tetap mematuhi kerangka kerja nasional.

Dalam keseluruhan, Kurikulum Merdeka bisa menjadi langkah positif dalam meningkatkan pendidikan di madrasah jika diimplementasikan dengan baik, didukung dengan pelatihan yang memadai, komunikasi yang baik, dan penyesuaian yang sesuai dengan karakteristik madrasah masing-masing.",1
11/1/2023 17:20:12,Lainnya,MTsS Ma'arif Ya Husnaya,Sudah,Kurikulum merdeka sangat bagus karena bisa menyalurkan bakat anak dengan anak dibuat terjun aktif didalam prmbelajaran,1
11/1/2023 17:31:40,Guru,MAS Minhajut Thullab ,Belum,Baik,1
11/1/2023 17:39:59,Guru,Mts Al ukhuwah Batam ,Sudah,"Menurut saya implementasi kurikulum merdeka pada madrasah dapat dilaksanakan apabila suatu madrasah sudah benar benar siap dalam semua aspek dari keadaan madrasah itu sendiri,baik guru maupun siswa sebagai sentral dari penerapan kurikulum merdeka tersebut, madrasah saya pada tahun ini memakai kurmer untuk kelas 7, semoga semua berjalan lancar dan mendapatkan hasil yang diharapkan, agar tahun depan kita akan tetap memakai kurmer ini secara berkesinambungan.",1
11/1/2023 17:52:47,Guru,MTs Al - Ukhuwah Batam,Sudah,"Saat ini kurikulum merdeka masih dalam proses penerapan sehingga masih perluny pembiasaan terhadap guru maupun siswa, harapannya semoga penerapan kurikulum ini bisa terlaksana dengan maksimal sehingga bisa terwujudnya nuasana pembelajaran yang lebih baik kedepannya",1
11/1/2023 18:15:51,Guru,MIN 2 Batam ,Sudah,Belajar berkreasi mandiri ,1
11/1/2023 18:21:31,Guru,MIN 2 BATAM,Sudah,"Keunggulan IKM penekanan materi esensial, pengembangan karakter lewat projeck dan bisa mengembangkan kurikulum sesuai kemampuan madrasah
",1
11/1/2023 18:22:32,Guru,MIS AL-MUTTAQIN,Sudah,"Dari segi kesiapan madrasah kami berusaha mempersiapkan segala kekurangannya, harapan kedepan mudah-mudahan kurikulum merdeka ini bisa di terapkan secara maksimal sehingga memberikan dampak positif yang berarti bagi guru dan Mutu lulusan kedapan",1
11/1/2023 18:29:28,Guru,MTs Al-Ukhuwah,Sudah,"Untuk kesipan sudah cukup siap, dgn mengikuti pelatihan baik di selenggarakan oleh kemenag maupun madrasah mandiri. 
Harapan bisa berjalan sebaiknya",1
