Timestamp,Status,Nama Madrasah,Sudahkah Madrasah saudara mengimplementasikan Kurikulum Merdeka?,Opini,Label
11/1/2023 16:27:46,Tenaga Kependidikan,MTsS Al-Muhajirin ,Sudah,sistem ajar kurikulum merdeka kurikulum merdeka jalan sesuai program madrasah warga madrasah,0
11/1/2023 16:49:52,Guru,MAN Batam,Sudah,laksana kurikulum merdeka kesiap mandiri jalan ajar informasi sekolah gerak guru gerak fasilitas mengakomodir siswa bimtek damping harap madrasak ada bimtek damping iring tinggal sekolah sekolah gerak,1
11/1/2023 16:58:47,Guru,MI ISLAMIYAH KEPOH,Sudah,harap keterliban perintah ganti buku mata ajar madrasah berat ada buku buku baru dasar kurikulum merdeka,0
11/1/2023 17:04:11,Guru,MI DAUD KHOLIFATULLOH,Sudah,kesiap implementasi kurikulum merdeka siap matang sekolah guru sistem didik madrasah adaptasi ubah dekat ajar nilai latih pada guru efektif terap dekat ajar kontekstual bas proyek harap kurikulum merdeka sempat serta didik kembang terampil praktis paham dalam kreativitas harap implementasi kurikulum manfaat nyata siswa bantu dunia nyata kurang tekan hafal paham kendala salah kendala hadap paham rata kurikulum merdeka kalang guru orangtua upaya komunikasi edukasi kuat libat proses sumber daya faktor sukses implementasi pelbagai madrasah madrasah milik karakteristik agam dekat didik nilainilai tekan implementasi kurikulum merdeka akomodasi agam madrasah tahan identitas nilainilai patuh kerangka kerja nasional kurikulum merdeka langkah positif tingkat didik madrasah implementasi dukung latih pada komunikasi sesuai sesuai karakteristik madrasah masingmasing,1
11/1/2023 17:18:51,Guru,MI DAUD KHOLIFATULLOH,Sudah,harap perangkat kurmer bagi seko ada latih mata ajar utk guru guru hadap serta didik kumer,0
11/1/2023 17:20:12,Lainnya,MTsS Ma'arif Ya Husnaya,Sudah,kurikulum merdeka bagus salur bakat anak anak terjun aktif dalam prmbelajaran,1
11/1/2023 17:27:24,Tenaga Kependidikan,MA Darul Huda,Sudah,batas media hambat kurikulum merdeka,-1
11/1/2023 17:31:40,Guru,MAS Minhajut Thullab ,Belum,,1
11/1/2023 17:39:59,Guru,Mts Al ukhuwah Batam ,Sudah,implementasi kurikulum merdeka madrasah laksana madrasah aspek madrasah sendiribaik guru siswa sentral terap kurikulum merdeka madrasah pakai kurmer kelas moga jalan lancar hasil harap pakai kurmer sambung,1
11/1/2023 17:52:47,Guru,MTs Al - Ukhuwah Batam,Sudah,kurikulum merdeka proses terap perluny biasa guru siswa harap moga terap kurikulum laksana maksimal wujud nuasana ajar depan,1
11/1/2023 17:56:25,Tenaga Kependidikan,MAS YASPEND EL HIDAYAH,Belum,kurikulum merdeka madrasah laku jadi madrasah maju,0
11/1/2023 17:59:32,Guru,MIS DAUD KHOLIFATULLAH,Sudah,harap tingkat mutu didik indonesia,0
11/1/2023 18:15:51,Guru,MIN 2 Batam ,Sudah,ajar kreasi mandiri,1
11/1/2023 18:21:31,Guru,MIN 2 BATAM,Sudah,unggul ikm tekan materi esensial kembang karakter projeck kembang kurikulum sesuai mampu madrasah,1
11/1/2023 18:22:32,Guru,MIS AL-MUTTAQIN,Sudah,segi kesiap madrasah usaha kurang harap depan mudahmudahan kurikulum merdeka terap maksimal dampak positif guru mutu lulus kedap,1
11/1/2023 18:26:59,Guru,MI NURUL HUDA CANTUK,Sudah,aktualisasi kurikulum tulis written curriculum dalam bentuk pembelajaraan cipta didik senang serta didik guru tekan kembang aspek terampil karakter sesuai nilainilai bangsa indonesia,0
11/1/2023 18:29:28,Guru,MTs Al-Ukhuwah,Sudah,kesip dgn ikut latih selenggara kemenag madrasah mandiri harap jalan,1
11/1/2023 18:30:16,Guru,MIN 2 Batam ,Sudah,sdm guru kesiap siswa pbm,0
11/1/2023 18:34:13,Guru,MIN 2 Batam ,Sudah,mesti siap,1
11/1/2023 18:37:55,Guru,MIS AL HIKMAMUSSALAFIYAH,Sudah,implementasi kurikulum merdeka sekolah pilih mandiri sesuai kesiap karakteristik satu didik,0
11/1/2023 18:39:34,Guru,MIN 2 Batam,Sudah,kurikulum merdeka madrasah terap bekal intensif gurugurunya lengkap sarana prasarana madrasah,0
11/1/2023 18:41:16,Guru,Mts fathimiyah,Belum,harap terap madrasah mengoftimalkan ajar siswa bakat minat siswa,1
11/1/2023 18:43:22,Guru,MIS Al - Muttaqin ,Sudah,kembang maju kembang nya dunia ajar era digital,1
11/1/2023 18:48:05,Guru,MTss al ukhuwah,Sudah,giat p jalan asesment karakter siswa susun ajar deferensiasi ajar ajar makna proyek priyek sederhana hubung konten ajar,1
11/1/2023 18:48:26,Guru,MAS NW SANGGENG,Belum,sebahagian guru paham ikm ada latih terap ikm tahap,0
11/1/2023 18:48:38,Guru,MI AL-MUFLIHUN,Belum,bebas serta didik ajar lapun sesuai dengna jalur,0
11/1/2023 18:50:18,Guru,MIN 2 Batam,Sudah,harap kurikulum merdeka anak kembang imajinasi,0
11/1/2023 18:52:39,Guru,MI Hidayatul Mubtadiin ,Belum,lembaga kesiap ikm lembaga terap ikm kait sarana kualitas tenaga didik didik butuh bimtek guru lanjut,0
11/1/2023 18:54:05,Guru,MI Al Muttaqin,Sudah,ikm sisi siap arah harap ikm generasi depan tumbuh kembang saing bidang,1
11/1/2023 19:08:32,Guru,MIN 2 BATAM,Sudah,terap dgan yg d sesuai dgan kondisi madrasah,1
